Year,Cultural,Natural,Mixed
1978,8,4,0
1979,34,8,3
1980,22,5,0
1981,15,9,2
1982,17,5,2
1983,19,9,1
1984,16,7,0
1985,25,4,1
1986,23,5,1
1987,32,7,2
1988,19,5,3
1989,4,2,1
1990,11,2,3
1991,16,6,0
1992,16,4,0
1993,29,4,0
1994,21,8,0
1995,22,7,0
1996,30,5,2
1997,38,7,1
1998,27,3,0
1999,35,11,2
2000,50,10,1
2001,25,6,0
2002,8,0,1
2003,19,5,0
2004,29,5,0
2005,17,7,0
2006,16,2,0
2007,16,4,2
2008,19,8,0
2009,11,2,0
2010,15,5,1
2011,21,3,1
2012,20,5,1
2013,14,5,0
2014,22,3,1
2015,23,0,1
2016,12,6,3
2017,18,3,0
2018,13,3,3
2019,24,4,1
